ID,adj.P.Val,logFC,GI,Gene.symbol,Gene.title
ILMN_1705985,1.90e-16,-1.05164533,299782545,PIGA,phosphatidylinositol glycan anchor biosynthesis class A
ILMN_1752213,2.36e-16,0.99945959,197304734,TMEM60,transmembrane protein 60
ILMN_1779616,2.71e-16,1.0692598,289547208,SUCLG1,succinate-CoA ligase alpha subunit
ILMN_1798543,1.56e-15,-1.47970391,217416412,STK17B,serine/threonine kinase 17b
ILMN_1745620,3.81e-15,1.12210954,751868084,KRCC1,lysine rich coiled-coil 1
ILMN_1725862,3.81e-15,-0.8262792,375493563,USP3,ubiquitin specific peptidase 3
ILMN_2160160,5.32e-15,-0.85935725,22546018,SNORD36C,small nucleolar RNA, C/D box 36C
ILMN_1671281,1.04e-14,0.76471962,315221148,RNASEL,ribonuclease L
ILMN_1756767,1.26e-14,0.64247784,84043962,EIF5B,eukaryotic translation initiation factor 5B
ILMN_2329429,1.36e-14,1.2728666,NA,,
ILMN_1689704,1.39e-14,0.73360813,503774416,TMEM5,transmembrane protein 5
ILMN_2343624,1.40e-14,1.08013388,55956897,METTL13,methyltransferase like 13
ILMN_1747305,1.74e-14,1.79201173,733216551,GIMAP8,GTPase, IMAP family member 8
ILMN_1813938,1.94e-14,0.74713273,148612891,CHCHD4,coiled-coil-helix-coiled-coil-helix domain containing 4
ILMN_3200330,2.08e-14,1.05251722,NA,,
ILMN_2162328,3.56e-14,-1.24591665,164663900,PTS,6-pyruvoyltetrahydropterin synthase
ILMN_1757186,3.56e-14,1.5574083,313760609,GIMAP1,GTPase, IMAP family member 1
ILMN_1669584,3.82e-14,-0.92640248,212549550,ILF3,interleukin enhancer binding factor 3
ILMN_1746135,3.82e-14,0.78775252,116268090,PHF23,PHD finger protein 23
ILMN_1692072,3.82e-14,0.69711051,NA,,
ILMN_1749634,3.82e-14,0.7132469,320118863,PLRG1,pleiotropic regulator 1
ILMN_1790575,4.12e-14,0.70078604,55956894,METTL13,methyltransferase like 13
ILMN_1718718,4.51e-14,1.11996607,393290879,MKKS,McKusick-Kaufman syndrome
ILMN_1752923,5.48e-14,0.85589681,46488931,IFNAR1,interferon alpha and beta receptor subunit 1
ILMN_1683175,6.19e-14,0.99622402,359465530,RPP25L,ribonuclease P/MRP subunit p25 like
ILMN_2115154,8.67e-14,0.6790832,197245407,NUPL2,nucleoporin like 2
ILMN_2244547,9.76e-14,-1.02539313,87298842,ETNK1,ethanolamine kinase 1
ILMN_2344455,1.20e-13,0.88575263,38327550,G3BP1,G3BP stress granule assembly factor 1
ILMN_2413084,1.20e-13,1.00320177,527498290,HSPA8,heat shock protein family A (Hsp70) member 8
ILMN_2097421,1.25e-13,0.85732761,169646732,MRPL51,mitochondrial ribosomal protein L51
ILMN_3254163,2.02e-13,-0.76693828,223468636,LINC00264,long intergenic non-protein coding RNA 264
ILMN_1776173,2.71e-13,0.60065703,325652102,PSMD7,proteasome 26S subunit, non-ATPase 7
ILMN_1748473,2.71e-13,1.71306579,28416432,GIMAP4,GTPase, IMAP family member 4
ILMN_1697529,3.12e-13,-0.99826266,156630998,RNF10,ring finger protein 10
ILMN_1744113,3.22e-13,0.7268609,325651998,TNFAIP8L2,TNF alpha induced protein 8 like 2
ILMN_1718271,3.93e-13,0.90887585,261878549,MTIF3,mitochondrial translational initiation factor 3
ILMN_1710514,4.33e-13,-1.49138263,164664507,BCL3,B-cell CLL/lymphoma 3
ILMN_1689817,4.70e-13,-0.87639388,282847507,LCOR,ligand dependent nuclear receptor corepressor
ILMN_2103397,4.70e-13,0.71169516,221307569,ZNF234,zinc finger protein 234
ILMN_1726359,5.56e-13,-0.74134971,209977004,NECAP1,NECAP endocytosis associated 1
ILMN_1787762,5.76e-13,0.77772199,301069317,HEATR1,HEAT repeat containing 1
ILMN_1776678,5.76e-13,1.91826201,55774985,GIMAP7,GTPase, IMAP family member 7
ILMN_2122952,5.76e-13,0.82374451,374671792,CISD1,CDGSH iron sulfur domain 1
ILMN_1657495,5.76e-13,0.72093524,747165392,MLEC,malectin
ILMN_1664466,5.76e-13,0.74258706,1044873435,KLHL9,kelch like family member 9
ILMN_2049727,5.76e-13,-0.92980607,335335011,OSER1,oxidative stress responsive serine rich 1
ILMN_1745788,6.65e-13,1.46818256,68348719,CX3CR1,C-X3-C motif chemokine receptor 1
ILMN_1725594,8.50e-13,-0.72934652,971059245,FAM188A,family with sequence similarity 188 member A
ILMN_2317348,8.64e-13,0.52730416,305410827,APTX,aprataxin
ILMN_1770936,9.05e-13,0.8681391,116063535,COQ5,coenzyme Q5, methyltransferase
ILMN_1776352,9.76e-13,0.48584064,313482849,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5
ILMN_1713189,1.02e-12,-0.88089237,154426299,KANSL2,KAT8 regulatory NSL complex subunit 2
ILMN_1835631,1.06e-12,-0.93716243,9866586,,
ILMN_1752283,1.06e-12,-0.72245002,1023300905,ITCH,itchy E3 ubiquitin protein ligase
ILMN_1789074,1.06e-12,2.12861201,194248071,HSPA1A,heat shock protein family A (Hsp70) member 1A
ILMN_3284631,1.06e-12,-0.75189593,NA,,
ILMN_1800935,1.09e-12,0.59079586,12232478,ARV1,ARV1 homolog, fatty acid homeostasis modulator
ILMN_2394193,1.09e-12,-0.7780025,98986322,VCPKMT,valosin containing protein lysine methyltransferase
ILMN_1769895,1.10e-12,1.78656979,183979979,CCR2,C-C motif chemokine receptor 2
ILMN_1657754,1.13e-12,0.75895884,226246607,RPAP2,RNA polymerase II associated protein 2
ILMN_3229770,1.13e-12,-0.82064132,160420325,SKP1,S-phase kinase-associated protein 1
ILMN_1707484,1.16e-12,0.67628016,41393576,GEMIN6,gem nuclear organelle associated protein 6
ILMN_2133316,1.17e-12,1.14522149,55774985,GIMAP7,GTPase, IMAP family member 7
ILMN_1705310,1.17e-12,0.66898042,56118213,VEZF1,vascular endothelial zinc finger 1
ILMN_3307782,1.22e-12,0.6778277,1007389511,FBXL18,F-box and leucine rich repeat protein 18
ILMN_1759729,1.22e-12,0.89412,33519464,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8
ILMN_1803846,1.26e-12,-0.77716552,77404355,EIF1,eukaryotic translation initiation factor 1
ILMN_3188099,1.28e-12,-0.64354814,NA,,
ILMN_1711314,1.28e-12,0.73197314,1011750857,NUDT5,nudix hydrolase 5
ILMN_1759952,1.46e-12,0.93619352,315138979,PSMA5,proteasome subunit alpha 5
ILMN_1764970,1.63e-12,-1.06875314,545478795,JMJD1C,jumonji domain containing 1C
ILMN_2161832,1.81e-12,0.69577871,223555918,VPS37A,VPS37A, ESCRT-I subunit
ILMN_1703006,1.97e-12,-0.71295794,410442519,MTCH1,mitochondrial carrier 1
ILMN_1722662,2.02e-12,-0.82553633,347800660,RAD23B,RAD23 homolog B, nucleotide excision repair protein
ILMN_1684385,2.05e-12,0.82734447,188536048,COPB2,coatomer protein complex subunit beta 2
ILMN_1773307,2.11e-12,-0.61475941,952977825,NAP1L5,nucleosome assembly protein 1 like 5
